Latitude,Longitude,country,arab_perc
50.10,-5.55,England,28.2054
56.45,-5.44,Scotland,0.338
50.23,-5.28,England,31.2001
50.10,-5.26,England,33.6591
50.30,-5.20,England,23.3489
50.17,-5.12,England,28.2289
50.16,-5.10,England,32.7102
50.26,-5.09,England,21.3793
50.15,-5.07,England,7.6596
55.82,-5.02,Scotland,0.3745
55.82,-5.02,Scotland,0.3745
51.66,-4.98,Wales,20.1791
51.80,-4.96,Wales,3.5952
51.65,-4.95,Wales,20.1109
51.86,-4.94,Wales,13.9077
51.65,-4.93,Wales,14.3973
55.69,-4.86,Scotland,12.128
55.68,-4.85,Scotland,9.2927
53.30,-4.62,Wales,0.703
51.90,-4.54,Wales,0.1446
57.58,-4.54,Scotland,4.9958
55.60,-4.52,Scotland,19.761
54.95,-4.48,Scotland,4.1107
54.95,-4.48,Scotland,3.7233
54.95,-4.48,Scotland,3.5691
50.69,-4.45,England,7.8414
55.86,-4.42,Scotland,25.5108
50.56,-4.41,England,14.8362
57.67,-4.40,Scotland,0.3236
50.62,-4.35,England,7.7541
57.66,-4.35,Scotland,34.5254
51.84,-4.34,Wales,13.2221
55.78,-4.33,Scotland,2.1223
51.73,-4.29,Wales,1.3777
55.86,-4.29,Scotland,0.2362
55.83,-4.26,Scotland,2.0025
57.69,-4.26,Scotland,37.793
50.96,-4.25,England,41.1028
55.86,-4.24,Scotland,2.5081
55.86,-4.24,Scotland,2.8505
50.95,-4.24,England,22.4696
53.28,-4.21,Wales,0.3686
55.86,-4.21,Scotland,3.5037
51.76,-4.20,Wales,10.0292
55.86,-4.19,Scotland,3.2552
53.23,-4.16,Wales,0.4534
55.86,-4.16,Scotland,3.2322
53.22,-4.16,Wales,0.1655
50.38,-4.16,England,4.7241
53.24,-4.14,Wales,0.4534
53.22,-4.14,Wales,0.13
53.24,-4.14,Wales,0.4534
51.84,-4.14,Wales,2.1327
53.21,-4.14,Wales,0.8925
53.22,-4.13,Wales,0.035
50.37,-4.13,England,4.3843
53.22,-4.13,Wales,0.3282
53.22,-4.13,Wales,0.3324
50.41,-4.12,England,7.4367
55.91,-4.07,Scotland,14.5946
54.83,-4.04,Scotland,16.0134
54.84,-4.04,Scotland,18.4766
57.68,-4.03,Scotland,19.9761
57.68,-4.03,Scotland,17.9646
50.35,-4.03,England,57.7143
51.61,-3.98,Wales,0.5055
53.24,-3.97,Wales,0.3808
53.27,-3.90,Wales,0.1692
53.26,-3.85,Wales,1.483
56.01,-3.84,Scotland,40.1149
53.27,-3.83,Wales,0.2192
56.36,-3.83,Scotland,48.7601
50.32,-3.79,England,38.7206
50.44,-3.77,England,13.9459
50.28,-3.77,England,46.2716
