Code,Location_n,Country,Latitude,Longitude,Date_colle,number_col,Afum_01,number_ARA,ARAf_01,colonies_A,SAMPLE_1_e,urban_rura,tasmax
SA19-178-01,1,UK,54.98,-7.29,20/03/2019,1,1,1,1,2,21,urban,15.45827103
SA19-178-02,2,UK,54.98,-7.29,20/03/2019,0,0,0,0,0,21,urban,15.45827103
SA19-224-02,2,UK,54.12,-6.48,20/03/2019,0,0,0,0,0,4,rural,14.71752834
SA19-224-01,1,UK,54.12,-6.48,20/03/2019,0,0,0,0,0,4,rural,14.71752834
SA19-200-01,1,UK,53.33,-6.29,20/03/2019,0,0,0,0,0,20,urban,
SA19-200-02,2,UK,53.37,-6.20,20/03/2019,0,0,0,0,0,20,urban,
SA19-084-01,1,UK,57.80,-5.67,20/03/2019,0,0,0,0,0,4,rural,12.16771412
SA19-084-02,2,UK,57.80,-5.67,20/03/2019,0,0,0,0,0,4,rural,12.16771412
SA19-149-01,1,UK,56.41,-5.46,18/03/2019,0,0,0,0,0,21,urban,8.769405365
SA19-149-02,2,UK,56.45,-5.44,20/03/2019,0,0,0,0,0,20,urban,11.92101574
SA19-227-02,2,UK,56.45,-5.38,21/03/2019,0,0,0,0,0,21,urban,11.92101574
SA19-214-01,2,UK,50.10,-5.26,20/03/2019,0,0,0,0,0,21,urban,10.95201015
SA19-125-02,2,UK,50.17,-5.12,21/03/2019,0,0,0,0,0,21,urban,12.82651806
SA19-125-01,1,UK,50.16,-5.10,21/03/2019,0,0,0,0,0,21,urban,13.46884441
SA19-201-01,1,UK,51.66,-4.98,20/03/2019,0,0,0,0,0,4,rural,9.539855003
SA19-136-02,2,UK,51.80,-4.96,20/03/2019,1,1,0,0,1,20,urban,9.464595795
SA19-201-02,2,UK,51.65,-4.95,20/03/2019,0,0,0,0,0,21,urban,9.722064972
SA19-136-01,1,UK,51.86,-4.94,20/03/2019,1,1,0,0,1,21,urban,9.308906555
SA19-154-02,2,UK,51.90,-4.54,21/03/2019,3,1,2,1,2,4,rural,12.022789
SA19-104-01,1,UK,54.95,-4.48,22/03/2019,4,1,0,0,1,21,urban,10.13239479
SA19-104-02,2,UK,54.95,-4.48,22/03/2019,1,1,0,0,1,21,urban,9.945709229
SA19-058-01,1,UK,50.69,-4.45,20/03/2019,0,0,0,0,0,21,urban,11.89973736
SA19-058-02,2,UK,50.62,-4.35,20/03/2019,0,0,0,0,0,21,urban,12.17388535
SA19-154-01,1,UK,51.84,-4.34,21/03/2019,1,1,0,0,1,21,urban,12.2771492
SA19-007-01,1,UK,51.73,-4.29,17/03/2019,0,0,0,0,0,21,urban,10.13156319
SA19-007-02,2,UK,51.73,-4.29,17/03/2019,0,0,0,0,0,21,urban,10.13156319
SA19-174-02,2,UK,55.86,-4.29,22/03/2019,0,0,0,0,0,20,urban,11.03255558
SA19-146-01,1,UK,55.83,-4.26,21/03/2019,0,0,0,0,0,20,urban,13.34544563
SA19-117-01,1,UK,57.69,-4.26,20/03/2019,1,1,0,0,1,21,urban,14.07859421
SA19-196-02,2,UK,55.86,-4.24,20/03/2019,0,0,0,0,0,20,urban,13.20014286
SA19-227-01,1,UK,55.86,-4.24,21/03/2019,0,0,0,0,0,20,urban,13.03266239
SA19-121-01,1,UK,50.95,-4.24,21/03/2019,1,1,0,0,1,21,urban,12.45222473
SA19-172-01,1,UK,53.28,-4.21,20/03/2019,1,1,0,0,1,21,urban,12.43044853
SA19-212-01,1,UK,55.86,-4.21,20/03/2019,1,1,0,0,1,21,urban,13.35936642
SA19-212-02,2,UK,55.86,-4.19,20/03/2019,0,0,0,0,0,21,urban,13.42960358
SA19-172-02,2,UK,53.23,-4.16,20/03/2019,1,1,0,0,1,21,urban,13.84854794
SA19-146-02,2,UK,55.86,-4.16,21/03/2019,0,0,0,0,0,21,urban,13.14878178
SA19-181-01,1,UK,53.24,-4.14,23/03/2019,0,0,0,0,0,21,urban,10.55242062
SA19-039-01,1,UK,53.22,-4.14,20/03/2019,0,0,0,0,0,21,urban,14.02274323
SA19-039-02,2,UK,53.22,-4.14,20/03/2019,0,0,0,0,0,21,urban,14.02274323
SA19-181-02,2,UK,53.24,-4.14,23/03/2019,0,0,0,0,0,21,urban,10.55242062
SA19-092-01,1,UK,53.21,-4.14,21/03/2019,0,0,0,0,0,21,urban,13.9054985
SA19-092-02,2,UK,53.21,-4.14,21/03/2019,0,0,0,0,0,21,urban,13.9054985
SA19-040-02,2,UK,53.22,-4.13,20/03/2019,0,0,0,0,0,21,urban,14.23997307
SA19-040-01,1,UK,53.22,-4.13,20/03/2019,0,0,0,0,0,21,urban,14.23997307
SA19-143-02,2,UK,53.22,-4.13,21/03/2019,0,0,0,0,0,21,urban,14.02966118
SA19-011-01,1,UK,53.19,-4.08,19/03/2019,0,0,0,0,0,21,urban,12.68194485
SA19-011-02,2,UK,53.19,-4.08,19/03/2019,0,0,0,0,0,21,urban,12.68194485
SA19-185-01,1,UK,55.91,-4.07,22/03/2019,4,1,0,0,1,21,urban,10.62369442
SA19-105-02,2,UK,54.83,-4.04,21/03/2019,0,0,0,0,0,20,urban,13.29440022
SA19-105-01,1,UK,54.84,-4.04,21/03/2019,0,0,0,0,0,21,urban,13.06412983
SA19-082-02,2,UK,57.68,-4.03,20/03/2019,0,0,0,0,0,21,urban,14.07859421
SA19-082-01,1,UK,57.68,-4.03,20/03/2019,0,0,0,0,0,21,urban,14.07859421
SA19-143-01,1,UK,53.26,-3.85,21/03/2019,0,0,0,0,0,21,urban,13.38808918
SA19-196-01,1,UK,56.01,-3.84,20/03/2019,1,1,0,0,1,20,urban,14.13803577
SA19-025-01,1,UK,53.27,-3.83,20/03/2019,0,0,0,0,0,21,urban,14.31772518
SA19-225-01,1,UK,50.44,-3.77,26/03/2019,0,0,0,0,0,21,urban,13.93978405
SA19-204-02,2,UK,58.57,-3.73,20/03/2019,0,0,0,0,0,21,urban,13.79496574
SA19-239-01,1,UK,55.82,-3.71,27/03/2019,0,0,0,0,0,21,urban,10.04779625
SA19-204-01,1,UK,58.58,-3.68,20/03/2019,0,0,0,0,0,4,rural,13.57859039
