Code,Location_n,Country,Latitude,Longitude,Date_colle,number_col,Afum_01,number_ARA,ARAf_01,colonies_A,SAMPLE_1_e,urban_rura,tasmax
WS18-100-02,2,UK,54.98,-7.29,17/12/2018,0,0,0,0,0,21,urban,12.06795406
WS18-100-01,1,UK,54.98,-7.29,17/12/2018,0,0,0,0,0,21,urban,12.06795406
WS18-056-01,1,UK,57.80,-5.67,17/12/2018,0,0,0,0,0,4,rural,13.00815678
WS18-056-02,2,UK,57.80,-5.67,17/12/2018,0,0,0,0,0,4,rural,13.00815678
WS18-142-02,2,UK,50.17,-5.12,06/01/2019,1,1,0,0,1,21,urban,9.76172924
WS18-142-01,1,UK,50.16,-5.10,06/01/2019,0,0,0,0,0,21,urban,10.42989159
WS18-132-01,1,UK,51.66,-4.98,17/12/2018,0,0,0,0,0,4,rural,12.33871555
WS18-059-02,2,UK,51.80,-4.96,17/12/2018,1,1,0,0,1,20,urban,12.11213684
WS18-132-02,2,UK,51.65,-4.95,20/12/2018,0,0,0,0,0,21,urban,12.66525936
WS18-115-02,2,UK,51.90,-4.54,20/12/2018,0,0,0,0,0,4,rural,10.74580574
WS18-093-01,1,UK,54.95,-4.48,17/12/2018,1,1,0,0,1,21,urban,10.98886871
WS18-093-02,2,UK,54.95,-4.48,17/12/2018,0,0,0,0,0,21,urban,10.84160328
WS18-154-01,1,UK,50.69,-4.45,24/12/2018,2,1,0,0,1,21,urban,10.03957844
WS18-050-02,2,UK,50.56,-4.41,17/12/2018,0,0,0,0,0,21,urban,10.98404121
WS18-050-01,1,UK,50.56,-4.41,17/12/2018,0,0,0,0,0,21,urban,10.98404121
WS18-154-02,2,UK,50.62,-4.35,24/12/2018,0,0,0,0,0,21,urban,10.13226414
WS18-150-02,2,UK,57.66,-4.35,20/12/2018,0,0,0,0,0,21,urban,2.778610229
WS18-115-01,1,UK,51.84,-4.34,20/12/2018,0,0,0,0,0,21,urban,11.96622944
WS18-116-01,1,UK,51.73,-4.29,25/12/2018,0,0,0,0,0,21,urban,10.21915245
WS18-116-02,2,UK,51.73,-4.29,25/12/2018,0,0,0,0,0,21,urban,10.21915245
WS18-150-01,1,UK,57.69,-4.26,20/12/2018,2,1,0,0,1,21,urban,3.899304628
WS18-133-02,2,UK,50.95,-4.24,22/12/2018,1,1,0,0,1,21,urban,12.133955
WS18-133-01,1,UK,50.95,-4.24,22/12/2018,0,0,0,0,0,21,urban,12.133955
WS18-160-01,1,UK,51.76,-4.20,20/12/2018,0,0,0,0,0,21,urban,11.5549612
WS18-160-02,2,UK,51.84,-4.14,20/12/2018,8,1,0,0,1,3,rural,11.84631348
WS18-110-01,1,UK,53.19,-4.08,22/12/2018,1,1,0,0,1,21,urban,9.08745575
WS18-110-02,2,UK,53.19,-4.08,22/12/2018,0,0,0,0,0,21,urban,9.08745575
WS18-061-02,2,UK,54.83,-4.04,17/12/2018,1,1,1,1,2,20,urban,10.50568676
WS18-061-01,1,UK,54.84,-4.04,17/12/2018,7,1,1,1,2,21,urban,10.24712181
WS18-088-01,1,UK,55.82,-3.71,17/12/2018,1,1,0,0,1,21,urban,9.601852417
WS18-157-01,1,UK,50.71,-3.53,14/12/2018,0,0,0,0,0,21,urban,7.445530415
WS18-134-01,1,UK,54.39,-3.47,21/12/2018,4,1,0,0,1,21,urban,8.810952187
WS18-134-02,2,UK,54.39,-3.47,21/12/2018,14,1,2,1,2,21,urban,8.810952187
WS18-166-02,2,UK,56.06,-3.45,17/01/2019,2,1,0,0,1,20,urban,5.106564045
WS18-029-01,1,UK,54.42,-3.42,17/12/2018,0,0,0,0,0,21,urban,10.4231863
WS18-029-02,2,UK,54.42,-3.42,17/12/2018,0,0,0,0,0,21,urban,10.4231863
WS18-161-02,2,UK,51.53,-3.34,22/12/2018,3,1,0,0,1,21,urban,11.15378571
